name,regime,n_days,ann_return,ann_vol,sharpe,max_drawdown,skewness,hit_rate
kalman_pairs,low_vol,1018,-0.011734324086868449,0.013148406351086854,-0.8924521933335658,-0.051217294938335024,-12.292375747028508,0.4214145383104126
kalman_pairs,medium_vol,1424,-0.00221125512868258,0.021692188924910892,-0.10193785128540979,-0.044422038502105965,-3.5834632767980463,0.42275280898876405
volatility_breakout,crisis,408,-0.09294721958167843,0.1909281084636952,-0.4868178935494575,-0.24197639549546418,0.7230852680915235,0.4215686274509804
volatility_breakout,high_vol,1221,0.0680415134594419,0.0813678251927078,0.8362213602034406,-0.0872633027068329,1.408448321227156,0.49795249795249796
volatility_breakout,low_vol,1018,0.07372963517920578,0.044842442669284555,1.6441931079215697,-0.03402023948158671,1.1415678733904675,0.537328094302554
volatility_breakout,medium_vol,1424,-0.01117246988769826,0.055416490289510255,-0.2016091208470683,-0.11905809998367599,-0.20311511450118255,0.4859550561797753
carry,crisis,408,-0.09736005301301977,0.16253292861920138,-0.5990174042893472,-0.22656939661363984,-1.341034860983552,0.49754901960784315
carry,high_vol,1221,-0.04614163017270532,0.0635449147646181,-0.7261262422590744,-0.2539717372582356,-0.6431499915267657,0.502047502047502
carry,low_vol,1018,0.05409250937453032,0.04446152517140682,1.2166138963068496,-0.04057372481823298,-0.0180406746883222,0.555992141453831
carry,medium_vol,1424,0.02047115674130009,0.05107830920110494,0.40077984297994845,-0.09290581273103486,0.11317973555956734,0.5098314606741573
factor_momentum,crisis,408,-0.06987648323800263,0.05895861181228282,-1.1851785700192707,-0.1545064863100412,-0.22032112353986724,0.45588235294117646
factor_momentum,high_vol,1221,-0.00602017557170558,0.01879087025536123,-0.3203776882014266,-0.07340123051376714,-3.2562716745060296,0.4619164619164619
factor_momentum,low_vol,1018,0.0045707177434397275,0.010431496533661048,0.4381651020724238,-0.013242284368365926,-0.937587704777937,0.48330058939096265
factor_momentum,medium_vol,1424,-0.016006050744492746,0.01607807655534564,-0.995520247051632,-0.09098651944186366,-3.133765435604573,0.46769662921348315
pca_stat_arb,crisis,408,-0.07630343318509372,0.09854608215768472,-0.7742918999357046,-0.18869345634213275,0.4035894714874963,0.40931372549019607
pca_stat_arb,high_vol,1221,0.04434963816394466,0.06063675979149149,0.731398549600069,-0.06288822607875075,-0.08293699664271566,0.47338247338247336
pca_stat_arb,low_vol,1018,-0.037447339132775474,0.0452312044984779,-0.8279093945869966,-0.1662981450488402,-0.16236979392905576,0.4548133595284872
pca_stat_arb,medium_vol,1424,0.004545092545709115,0.049541206527127686,0.0917436789356416,-0.13155306351886262,0.289172213403983,0.48103932584269665
vol_managed,crisis,408,0.03054931329516428,0.12189286817278229,0.250624287976068,-0.09875501926093817,-0.8824892689502168,0.5441176470588235
vol_managed,high_vol,1221,0.06578888891031635,0.11838222417400927,0.555732833787729,-0.19102463568689507,-1.2011604413361388,0.5389025389025389
vol_managed,low_vol,1018,0.18918283367035219,0.08450099844244621,2.2388236489206093,-0.07580624807708468,-0.16365981771541713,0.5579567779960707
vol_managed,medium_vol,1424,0.10468093072248993,0.10350840793483855,1.0113278023596841,-0.09586902214300194,-0.7168330158009418,0.5653089887640449
pead,crisis,408,0.014040675605856508,0.07484610566936967,0.18759393665557905,-0.09168453802797961,0.6251264497131157,0.11029411764705882
pead,high_vol,1221,0.028684902000667468,0.06436482431375931,0.44566115586422067,-0.09559181497301984,0.07641055461041342,0.1850941850941851
pead,low_vol,1018,0.02790505884386832,0.04514405546025077,0.6181336293200034,-0.08414369315944245,0.47854680600055516,0.1650294695481336
pead,medium_vol,1424,0.013913746683962844,0.05869392205052898,0.23705600508319494,-0.1021350282218293,2.0524328254401074,0.15098314606741572
residual_momentum,crisis,408,0.025835734981881138,0.08797978642170218,0.29365535008287064,-0.12674079087464304,-0.13562486947892854,0.4681372549019608
residual_momentum,high_vol,1221,-0.009368481742664816,0.07396443788467302,-0.12666197446497682,-0.15161613587359746,-0.03878404025154595,0.4430794430794431
residual_momentum,low_vol,1018,0.0041820478387950095,0.054836385508369744,0.07626410457262356,-0.13091079209931136,0.18355108125645891,0.45284872298624756
residual_momentum,medium_vol,1424,0.008832222430065685,0.06463822490082029,0.13664085676266152,-0.11862967588749082,-0.13528425246047218,0.4845505617977528
low_risk_bab,crisis,408,-0.006626701928425981,0.12212754902034151,-0.0542605004487746,-0.12048003429363344,-0.006901770000718326,0.4730392156862745
low_risk_bab,high_vol,1221,-0.017874903146004106,0.07086125142319381,-0.2522521517331462,-0.19149466656539693,-0.26630111397895556,0.4692874692874693
low_risk_bab,low_vol,1018,0.01236935368100076,0.050541715149204934,0.24473553468624903,-0.1363251618650935,0.5397440319952616,0.4823182711198428
low_risk_bab,medium_vol,1424,0.009061504728744226,0.05239138588407795,0.17295791237120284,-0.11236883999119689,-0.1931285317731157,0.49297752808988765
short_term_reversal,crisis,408,-0.126804898949651,0.07001762439107623,-1.8110425775286993,-0.2088345614364651,-0.636283675193163,0.47058823529411764
short_term_reversal,high_vol,1221,0.002338746772540561,0.03848162388223423,0.06077567775460453,-0.09961186520559998,0.8553884452234217,0.5110565110565111
short_term_reversal,low_vol,1018,0.013901137614515755,0.04030420920205485,0.3449053557861899,-0.05380486718242497,0.25853212034369594,0.48919449901768175
short_term_reversal,medium_vol,1424,0.006727417297854773,0.037935720164028734,0.17733727655007905,-0.0527311294725585,0.055821480582958966,0.49859550561797755
vol_risk_premium,crisis,408,0.044086433844657026,0.22827873842822022,0.19312544894985711,-0.19108094218815613,0.9932857993685921,0.49264705882352944
vol_risk_premium,high_vol,1221,0.012320882708849953,0.05047476100833017,0.2440998721483111,-0.1155213357887016,0.5378786976579484,0.5045045045045045
vol_risk_premium,low_vol,1018,0.03976729244703571,0.02605463895470962,1.5263037233470242,-0.029423404537251813,1.2655099306590933,0.5324165029469549
vol_risk_premium,medium_vol,1424,-0.00633598351954737,0.03652945300615817,-0.17344862838431346,-0.10899391433461934,-1.1185346700410264,0.5287921348314607
