ablation,variant,is_baseline,sharpe,sortino,calmar,max_drawdown,cdar_95,cvar_95,skewness,kurtosis,time_in_drawdown_pct,cagr,ann_volatility
drawdown_control,vol_managed_binary_breaker,True,0.9612325083188137,0.8747952292482386,0.593081101308831,-0.16715630371787613,0.1508054205273059,0.016365682330115455,-0.9534617475100546,5.036866478083706,86.87116564417178,0.09913724469971141,0.1040035097973424
drawdown_control,vol_managed_no_control,False,1.0083752268893653,0.9214622381826856,0.67320728649738,-0.15811103640408342,0.1359897011053652,0.016575143592425703,-0.9130540948438343,4.735711732780729,85.88957055214725,0.10644150178288148,0.10591074038260563
drawdown_control,vol_managed_continuous_cdar,False,0.9612325083188137,0.8747952292482386,0.593081101308831,-0.16715630371787613,0.1508054205273059,0.016365682330115455,-0.9534617475100546,5.036866478083706,86.87116564417178,0.09913724469971141,0.1040035097973424
drawdown_control,pead_binary_breaker,True,0.3424497336496982,0.19771243366058333,0.13485278159524766,-0.13679412742079802,0.1307124934323083,0.009491586500597561,0.9256058748112094,17.446651474863543,92.1717791411043,0.018447068588589355,0.05833552053545501
drawdown_control,pead_no_control,False,0.3684041639118323,0.2130909941143731,0.14532844660480124,-0.13957475297213073,0.1290034415906593,0.009629600586003071,0.9008132901609474,16.556434873432313,92.02453987730061,0.020284182034688625,0.05926632197836952
drawdown_control,pead_continuous_cdar,False,0.3424497336496982,0.19771243366058333,0.13485278159524766,-0.13679412742079802,0.1307124934323083,0.009491586500597561,0.9256058748112094,17.446651474863543,92.1717791411043,0.018447068588589355,0.05833552053545501
drawdown_control,residual_momentum_binary_breaker,True,-0.29279180136265714,-0.271233463931249,-0.05188750652783902,-0.21128887750227426,0.20401724194484339,0.00597229391254251,-0.5389809001775732,8.680977782380328,92.51533742331289,-0.010963253010659035,0.035496717466042424
drawdown_control,residual_momentum_no_control,False,0.05752409170562512,0.0558085972201828,0.008836330688220812,-0.18120234715561176,0.15354234706106484,0.009847289506699672,-0.059183357504955875,3.010838218207882,91.50920245398773,0.0016011638609487733,0.06798527069414717
drawdown_control,residual_momentum_continuous_cdar,False,-0.29279180136265714,-0.271233463931249,-0.05188750652783902,-0.21128887750227426,0.20401724194484339,0.00597229391254251,-0.5389809001775732,8.680977782380328,92.51533742331289,-0.010963253010659035,0.035496717466042424
drawdown_control,low_risk_bab_binary_breaker,True,0.04792831237197731,0.04482391936251594,0.005814213489728167,-0.18307290801689302,0.1830727485125505,0.009691790656592082,-0.21842226790098535,10.50031811861349,91.11656441717791,0.0010644249713955833,0.060887127058589854
drawdown_control,low_risk_bab_no_control,False,0.0035009771479911204,0.0032932268480212797,-0.009151772759091409,-0.22468720017609595,0.2246266434616854,0.010466999958106453,-0.08338188251785664,7.9655855277395045,91.11656441717791,-0.002056286197888113,0.06775557290042512
